"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"469",13,"C.J. Ham",MIN,"RB127","7","3 out of 5 stars","-"
"470",13,"Quez Watkins",PHI,"WR161","14","3 out of 5 stars","-"
"471",13,"Marquise Goodwin",CHI,"WR162","10","3 out of 5 stars","+107.0"
"472",13,"Jaylen Samuels",PIT,"RB128","7","5 out of 5 stars","-"
"473",13,"Patrick Ricard",BAL,"RB129","8","4 out of 5 stars","-"
"474",13,"Cedrick Wilson",DAL,"WR163","7","1 out of 5 stars","-"
"475",13,"Demetric Felton",CLE,"WR164","13","1 out of 5 stars","+136.0"
"476",13,"Tamorrion Terry",FA,"WR165","-","-","-"
"477",13,"Devonta Freeman",BUF,"RB130","7","3 out of 5 stars","-"
"478",13,"Simi Fehoko",DAL,"WR166","7","1 out of 5 stars","-"
"479",13,"Zay Jones",LV,"WR167","8","1 out of 5 stars","-"
"480",13,"Kylen Granson",IND,"TE70","14","4 out of 5 stars","+181.0"
"481",13,"Adam Shaheen",MIA,"TE71","14","4 out of 5 stars","-"
"482",13,"Albert Wilson",MIA,"WR168","14","3 out of 5 stars","-"
"483",13,"Alec Ingold",LV,"RB131","8","2 out of 5 stars","-"
"484",13,"John Hightower",PHI,"WR169","14","3 out of 5 stars","-"
"485",13,"JaMycal Hasty",SF,"RB132","6","3 out of 5 stars","-"
"486",13,"Darren Fells",DET,"TE72","9","4 out of 5 stars","-"
"487",13,"Sage Surratt",DET,"WR170","9","1 out of 5 stars","-"
"488",13,"Ross Dwelley",SF,"TE73","6","4 out of 5 stars","-"
"489",13,"Chris Manhertz",JAC,"TE74","7","4 out of 5 stars","-"
"490",13,"J.J. Arcega-Whiteside",PHI,"WR171","14","3 out of 5 stars","-"
"491",13,"D'Ernest Johnson",CLE,"RB133","13","4 out of 5 stars","-"
"492",13,"Trey Burton",FA,"TE75","-","-","-"
"493",13,"Michael Burton",KC,"RB134","12","4 out of 5 stars","-"
"494",13,"Dion Lewis",FA,"RB135","-","-","-"
"495",13,"Javon Wims",CHI,"WR172","10","3 out of 5 stars","-"
"496",13,"Seth Williams",DEN,"WR173","11","4 out of 5 stars","-"
"497",13,"Kelvin Harmon",WAS,"WR174","9","3 out of 5 stars","-"
"498",13,"Corey Clement",NYG,"RB136","10","2 out of 5 stars","+220.0"
"499",13,"Josiah Deguara",GB,"TE76","13","3 out of 5 stars","-"
"500",13,"J.J. Taylor",NE,"RB137","14","3 out of 5 stars","-"
"501",13,"Jaelon Darden",TB,"WR175","9","2 out of 5 stars","-"
"502",13,"Nick Vannett",NO,"TE77","6","4 out of 5 stars","-"
"503",13,"Ray-Ray McCloud",PIT,"WR176","7","2 out of 5 stars","-"
"504",13,"Hunter Bryant",DET,"TE78","9","4 out of 5 stars","-"
"505",13,"Trenton Cannon",CAR,"RB138","13","2 out of 5 stars","-"
"506",13,"Gary Brightwell",NYG,"RB139","10","2 out of 5 stars","-"
"507",13,"Pooka Williams Jr.",CIN,"RB140","10","3 out of 5 stars","+260.0"
"508",13,"Cade Johnson",SEA,"WR177","9","1 out of 5 stars","-"
"509",13,"Shi Smith",CAR,"WR178","13","5 out of 5 stars","+121.0"
"510",13,"Blake Bell",KC,"TE79","12","3 out of 5 stars","-"
"511",13,"Aldrick Rosas",JAC,"K38","7","5 out of 5 stars","-"
"512",13,"Gunner Olszewski",NE,"WR179","14","4 out of 5 stars","-"
"513",13,"Antonio Callaway",KC,"WR180","12","3 out of 5 stars","-"
"514",13,"Kenny Yeboah",NYJ,"TE80","6","3 out of 5 stars","-"
"515",13,"Stevie Scott III",NO,"RB141","6","2 out of 5 stars","-"
"516",13,"Tajae Sharpe",ATL,"WR181","6","4 out of 5 stars","-"
"517",13,"Darrell Daniels",ARI,"TE81","12","2 out of 5 stars","-"
"518",13,"Colby Parkinson",SEA,"TE82","9","1 out of 5 stars","-"
"519",13,"Ameer Abdullah",MIN,"RB142","7","3 out of 5 stars","+173.0"
"520",13,"Jacques Patrick",CIN,"RB143","10","3 out of 5 stars","-"
"521",13,"Andrew Jacas",SF,"K39","6","4 out of 5 stars","-"
"522",13,"Cameron Batson",TEN,"WR182","13","3 out of 5 stars","-"
"523",13,"Durham Smythe",MIA,"TE83","14","4 out of 5 stars","-"
"524",13,"Keith Smith",ATL,"RB144","6","2 out of 5 stars","-"
"525",13,"Devin Asiasi",NE,"TE84","14","5 out of 5 stars","-"
"526",13,"Juwan Johnson",NO,"WR183","6","4 out of 5 stars","-"
"527",13,"Dedrick Mills",DET,"RB145","9","0 out of 5 stars","-"
"528",13,"Phillip Walker",CAR,"QB45","13","4 out of 5 stars","-"
"529",13,"Andre Roberts",HOU,"WR184","10","3 out of 5 stars","-"
"530",13,"Mike Strachan",IND,"WR185","14","5 out of 5 stars","-"
"531",13,"Marcedes Lewis",GB,"TE85","13","3 out of 5 stars","-"
"532",13,"Austin Watkins Jr.",SF,"WR186","6","5 out of 5 stars","-"
"533",13,"Devin Smith",NE,"WR187","14","4 out of 5 stars","+141.0"
"534",13,"Jacoby Brissett",MIA,"QB46","14","4 out of 5 stars","-"
"535",13,"Trey Ragas",LV,"RB146","8","2 out of 5 stars","-"
"536",13,"D'Onta Foreman",FA,"RB147","-","-","+198.0"
"537",13,"Otis Anderson Jr.",LAR,"RB148","11","4 out of 5 stars","-"
"538",13,"Reggie Bonnafon",CAR,"RB149","13","2 out of 5 stars","-"
"539",13,"Charlie Woerner",SF,"TE86","6","4 out of 5 stars","-"
"540",13,"Dwayne Haskins",PIT,"QB47","7","4 out of 5 stars","-"
"541",14,"Isaiah Hodgins",BUF,"WR188","7","3 out of 5 stars","-"
"542",14,"Dezmon Patmon",IND,"WR189","14","5 out of 5 stars","-"
"543",14,"Nick Westbrook-Ikhine",TEN,"WR190","13","3 out of 5 stars","-"
"544",14,"Mekhi Sargent",TEN,"RB150","13","3 out of 5 stars","-"
